,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
121,Sitka,10,US,1559790302,81,37.17,-99.65,69.01,3.0
122,Ahipara,22,NZ,1559790303,92,-35.17,173.16,61.0,25.03
123,Boguchany,4,RU,1559790304,31,58.38,97.46,77.0,1.05
124,Tura,98,IN,1559790305,62,25.52,90.21,87.08,5.95
125,Atar,0,MR,1559790306,14,20.52,-13.05,90.14,9.71
126,Saskylakh,0,RU,1559790307,31,71.97,114.09,52.16,8.63
127,Loukhi,81,RU,1559790309,82,66.08,33.04,45.14,7.36
128,Miyako,75,JP,1559790310,65,33.63,130.94,90.0,11.41
129,Lata,36,IN,1559790311,42,30.78,78.62,45.5,6.02
130,Boende,100,CD,1559790312,69,-0.28,20.88,69.26,1.81
131,Mount Isa,0,AU,1559790313,25,-20.73,139.49,64.4,13.87
132,Turukhansk,92,RU,1559790314,51,65.8,87.96,62.06,4.34
133,Severo-Kurilsk,99,RU,1559790316,97,50.68,156.12,41.18,10.76
134,Leninskoye,40,RU,1559790317,60,54.82,82.85,68.0,15.66
135,Suntar,10,RU,1559790318,32,62.16,117.65,76.1,3.44
136,Lakki Marwat,4,PK,1559790319,17,32.61,70.91,92.84,7.45
137,Henties Bay,0,NA,1559790320,97,-22.12,14.28,53.01,13.15
138,San Pedro,100,AR,1559790323,83,-33.68,-59.66,59.0,4.0
139,Cairns,99,AU,1559790324,53,-16.92,145.77,75.0,20.8
140,Adrar,76,DZ,1559790325,16,27.87,-0.29,86.0,10.29
141,Richards Bay,60,ZA,1559790326,73,-28.77,32.06,71.96,14.76
142,Tual,100,ID,1559790327,80,-5.67,132.75,82.22,23.73
143,Barrow,100,AR,1559790328,91,-38.31,-60.23,53.42,8.08
144,Solnechnyy,5,RU,1559790330,48,50.72,136.64,70.16,4.81
145,Mabaruma,100,GY,1559790186,98,8.2,-59.78,73.58,2.57
146,Biloela,100,AU,1559790332,32,-24.4,150.51,69.26,15.61
147,Esperance,20,TT,1559790333,83,10.24,-61.45,79.0,3.36
148,Port Augusta,40,AU,1559790334,71,-32.49,137.76,54.0,8.05
149,Arroio Grande,36,BR,1559790335,89,-32.24,-53.09,53.6,9.01
150,Yellowknife,75,CA,1559790214,46,62.45,-114.38,50.0,17.22
151,Rotherham,20,GB,1559790338,81,53.43,-1.36,51.8,4.7
152,Haines Junction,86,CA,1559790339,31,60.75,-137.51,54.86,7.76
153,Carnarvon,10,ZA,1559790340,78,-30.97,22.13,39.74,8.12
154,Oktyabrskiy,0,RU,1559790341,82,55.61,37.97,66.99,2.24
155,Darhan,100,MN,1559790343,77,49.49,105.92,47.84,9.33
156,Saint-Pierre,75,FR,1559790344,93,48.95,4.24,50.0,8.05
157,Ternate,20,PH,1559790346,66,14.29,120.72,93.0,9.17
158,Gezing,20,AT,1559790347,63,47.92,13.13,64.4,5.82
159,Vuktyl,100,RU,1559790348,60,63.86,57.31,54.5,5.95
160,Carnduff,0,CA,1559790349,44,49.17,-101.8,63.0,5.01
161,Aksarka,100,RU,1559790350,97,66.56,67.8,32.54,12.73
162,Banchory,90,GB,1559790351,100,57.05,-2.5,50.0,5.82
163,Pevek,46,RU,1559790353,81,69.7,170.27,35.06,6.76
164,Tasiilaq,0,GL,1559790184,86,65.61,-37.64,30.2,2.24
165,Belaya Gora,2,RU,1559790355,25,68.54,146.19,55.4,6.08
166,Bambous Virieux,40,MU,1559790356,78,-20.34,57.76,73.4,14.99
167,San Ramon de la Nueva Oran,0,AR,1559790357,84,-23.13,-64.33,55.04,0.6
168,Broome,100,GB,1559790358,93,52.47,1.45,54.0,6.93
169,Manakara,10,MG,1559790359,95,-22.14,48.01,65.48,3.0
170,Dikson,0,RU,1559790361,90,73.51,80.55,32.54,2.28
171,Kununurra,0,AU,1559790202,19,-15.77,128.74,71.6,13.87
172,Sabang,93,PH,1559790363,70,13.72,123.58,86.36,8.84
173,Holme,100,GB,1559790364,87,53.7,-2.31,48.99,3.36
174,Coquimbo,0,CL,1559790365,87,-29.95,-71.34,55.0,6.93
175,Kattivakkam,40,IN,1559790366,66,13.22,80.32,89.6,8.05
176,Hasaki,75,JP,1559790368,54,35.73,140.83,90.0,9.17
177,Boa Viagem,38,BR,1559790369,87,-5.13,-39.73,66.92,4.41
178,Jinchang,24,CN,1559790370,19,38.52,102.19,72.32,5.5
179,Port Macquarie,0,AU,1559790371,45,-31.43,152.91,70.0,11.41
180,Porto Novo,75,BR,1559790372,82,-23.68,-45.44,60.8,4.7
181,Aklavik,40,CA,1559790374,23,68.22,-135.01,62.6,3.36
182,Tongren,0,CN,1559790375,52,27.72,109.18,87.44,1.03
183,San Andres,82,PH,1559790376,55,13.32,122.68,90.86,3.91
184,Nanortalik,100,GL,1559790377,67,60.14,-45.24,39.92,27.04
185,Goderich,100,CA,1559790378,92,43.74,-81.71,57.99,5.99
186,Valparaiso,1,US,1559790201,82,41.47,-87.06,73.0,8.66
187,Rio Grande,41,BR,1559790315,94,-32.03,-52.1,56.12,5.53
188,Hamilton,90,CA,1559790090,100,43.26,-79.87,61.0,4.7
189,Tiksi,0,RU,1559790383,68,71.64,128.87,34.7,9.42
190,Rolla,75,US,1559790385,77,37.95,-91.77,72.0,13.87
191,Bonga,55,ET,1559790386,97,7.26,36.25,55.58,1.63
192,San Cristobal,20,EC,1559790387,87,-0.39,-78.55,57.2,5.82
193,Chebenki,0,RU,1559790388,59,51.93,55.71,62.6,11.18
194,Teya,5,MX,1559790389,49,21.05,-89.07,91.4,13.87
195,Moindou,75,NC,1559790391,60,-21.69,165.68,75.2,10.29
196,Albertville,90,FR,1559790360,81,45.68,6.39,57.2,9.17
197,Yulin,0,CN,1559790393,35,38.3,109.75,75.38,8.43
198,Port Lincoln,0,AU,1559790394,59,-34.72,135.86,56.84,8.88
199,Arraial do Cabo,55,BR,1559790395,66,-22.97,-42.02,69.8,3.44
200,Grong,44,NO,1559790396,86,64.47,12.32,55.0,2.17
201,Georgetown,0,GY,1559790398,94,6.8,-58.16,77.0,4.7
202,Mount Gambier,90,AU,1559790399,82,-37.83,140.78,55.4,5.82
203,Saldanha,0,PT,1559790400,82,41.42,-6.55,43.16,1.23
204,Aykhal,75,RU,1559790402,51,65.95,111.51,60.8,4.47
205,Tuatapere,100,NZ,1559790403,62,-46.13,167.69,52.16,30.51
206,Shenjiamen,99,CN,1559790404,88,29.96,122.3,75.56,14.76
207,Dingle,59,PH,1559790204,43,11.0,122.67,93.74,13.4
208,Natal,20,BR,1559790355,83,-5.81,-35.21,75.2,8.05
209,Geraldton,75,CA,1559790407,44,49.72,-86.95,59.0,5.82
210,Gaspe,5,CA,1559790408,100,48.83,-64.48,37.4,4.85
211,Svetlaya,100,RU,1559790410,70,46.54,138.33,55.76,5.08
212,Saint-Augustin,75,FR,1559790411,93,44.83,-0.61,51.01,3.36
213,Qasigiannguit,25,GL,1559790412,56,68.82,-51.19,42.8,3.36
214,Imbituba,75,BR,1559790413,93,-28.24,-48.67,64.4,3.36
215,Berlevag,76,NO,1559790414,80,70.86,29.09,42.8,10.85
216,Jining,37,CN,1559790415,29,35.41,116.58,90.0,1.99
217,Pisco,90,PE,1559790417,72,-13.71,-76.2,64.4,11.41
218,Katete,100,UG,1559790418,90,-0.78,29.75,63.32,2.15
219,Aligudarz,18,IR,1559790419,33,33.4,49.69,69.44,3.58
220,Sinnamary,4,GF,1559790420,81,5.38,-52.96,81.5,10.94
221,Mataram,55,ID,1559790421,64,-5.32,105.06,86.0,2.17
222,Bang Saphan,40,TH,1559790422,74,11.21,99.51,86.0,4.7
223,La Palma,100,CO,1559790424,98,5.36,-74.39,68.9,2.08
224,Ligayan,96,PH,1559790425,72,4.65,119.47,84.02,2.71
225,Mareeba,99,AU,1559790426,53,-16.99,145.42,75.0,20.8
226,Kavieng,79,PG,1559790427,71,-2.57,150.8,85.82,8.68
227,Palmer,40,AU,1559790429,50,-34.85,139.16,59.0,6.93
228,Teluk Intan,75,MY,1559790430,83,4.02,101.03,82.4,3.36
229,Robertson,12,ZA,1559790431,91,-33.8,19.88,43.16,5.73
230,Rocha,100,UY,1559790432,84,-34.48,-54.34,56.12,12.57
231,Jalu,0,LY,1559790433,35,29.03,21.55,77.72,8.1
232,Evensk,70,RU,1559790435,49,61.92,159.24,58.1,7.11
233,Kushima,40,JP,1559790436,74,31.5,131.29,84.99,8.05
234,Cherskiy,100,RU,1559790437,36,68.75,161.3,44.96,7.0
235,Grand-Santi,42,GF,1559790438,99,4.27,-54.38,72.32,1.83
236,Faanui,17,PF,1559790439,81,-16.48,-151.75,81.32,18.34
237,Falmouth,37,GB,1559790441,81,50.16,-5.07,52.0,9.17
238,College,75,US,1559790442,48,64.86,-147.8,66.99,9.17
239,Mirnyy,0,RU,1559790443,87,56.57,36.46,60.8,3.74
240,Niquelandia,0,BR,1559790444,61,-14.47,-48.46,71.96,10.29
241,Bridlington,100,GB,1559790445,87,54.08,-0.19,52.0,3.36
242,Thunder Bay,75,CA,1559790447,58,48.41,-89.26,57.2,2.24
243,Lewiston,75,US,1559790304,40,46.42,-117.02,75.99,4.7
244,Atherton,100,GB,1559790449,87,53.52,-2.49,48.99,3.36
245,Mahibadhoo,100,MV,1559790450,77,3.78,72.97,85.1,19.48
246,Peniche,20,PT,1559790451,87,39.36,-9.38,57.0,2.24
247,Pacific Grove,1,US,1559790452,63,36.62,-121.92,73.0,12.75
248,Tautira,75,PF,1559790453,74,-17.73,-149.15,80.6,10.29
249,Gariaband,84,IN,1559790455,33,20.63,82.06,98.6,7.36
250,Cabo San Lucas,5,MX,1559790454,72,22.89,-109.91,77.0,11.41
251,East Lake,1,US,1559790457,83,33.75,-84.3,77.0,5.77
252,Cockburn Town,0,TC,1559790397,79,21.46,-71.14,81.5,13.24
253,Nabire,33,ID,1559790459,66,-3.36,135.5,85.28,1.79
254,Nishihara,75,JP,1559790460,74,35.74,139.53,91.0,8.05
255,Jacareacanga,98,BR,1559790462,74,-6.22,-57.76,76.64,0.63
256,Tigil,42,RU,1559790463,39,57.8,158.67,64.94,17.83
257,Sept-Iles,20,CA,1559790464,93,50.2,-66.38,46.0,3.36
258,Padang,100,ID,1559790255,69,-0.92,100.36,82.76,2.95
259,Tamano,0,JP,1559790466,42,34.49,133.94,88.0,4.7
260,Puteyets,99,RU,1559790467,66,65.17,57.09,51.08,4.61
261,Touros,20,BR,1559790469,94,-5.2,-35.46,73.4,2.24
262,Deputatskiy,0,RU,1559790470,32,69.3,139.9,48.56,8.23
263,Champerico,90,MX,1559790471,69,16.38,-93.6,82.4,3.36
264,Saint-Joseph,75,FR,1559790472,82,43.56,6.97,64.99,4.7
265,Yuzhno-Kurilsk,0,RU,1559790473,74,44.03,145.86,52.34,8.88
266,Souillac,0,FR,1559790474,93,45.6,-0.6,51.8,2.24
267,Yumen,100,CN,1559790476,20,40.29,97.04,78.08,7.29
268,Burnie,94,AU,1559790477,60,-41.05,145.91,61.0,13.0
269,Leh,97,IN,1559790478,57,34.16,77.58,32.18,4.47
270,Curup,99,ID,1559790479,80,-3.47,102.53,77.54,0.81
271,Ilovlya,0,RU,1559790480,55,49.31,43.98,64.4,11.18
272,Anadyr,20,RU,1559790482,54,64.73,177.51,59.0,15.66
273,Grand-Lahou,67,CI,1559790483,95,5.24,-5.0,74.3,2.73
274,Nazarovo,50,RU,1559790484,43,56.01,90.42,69.26,11.14
275,Myskhako,0,RU,1559790485,93,44.66,37.76,66.2,4.47
276,Mitsamiouli,0,KM,1559790486,69,-11.38,43.28,80.96,10.36
277,Baykit,5,RU,1559790488,24,61.68,96.39,73.22,2.44
278,Teahupoo,75,PF,1559790489,74,-17.83,-149.27,80.6,10.29
279,Cidreira,29,BR,1559790263,78,-30.17,-50.22,64.76,13.33
280,Zlobin,75,HR,1559790491,88,45.29,14.65,66.2,2.24
281,Thaton,99,MM,1559790492,73,16.91,97.37,85.46,6.55
282,Khilok,87,RU,1559790493,42,51.36,110.46,60.62,5.46
283,Tadine,100,NC,1559790494,77,-21.55,167.88,73.04,18.5
284,Vaitape,17,PF,1559790496,81,-16.52,-151.75,81.32,18.34
285,Prince Rupert,1,CA,1559790497,76,54.32,-130.32,55.4,6.93
286,Ryotsu,75,JP,1559790498,68,38.08,138.43,71.6,8.05
287,Pauini,20,BR,1559790499,78,-7.71,-67.0,75.2,1.92
288,Talalayivka,0,UA,1559790500,89,50.96,31.92,60.26,8.1
289,Maloy,100,ID,1559790501,89,1.0,118.1,83.84,2.35
290,Sungaipenuh,97,ID,1559790283,54,-2.08,101.38,86.9,1.81
291,Itarema,61,BR,1559790504,88,-2.92,-39.92,76.64,5.97
292,Kuusamo,0,FI,1559790434,71,65.96,29.19,53.6,8.05
293,Bathsheba,20,BB,1559790506,78,13.22,-59.52,80.6,13.87
294,Kaitong,0,CN,1559790507,27,44.81,123.15,84.74,15.03
295,Kaitangata,99,NZ,1559790508,54,-46.28,169.85,52.0,8.01
296,Corner Brook,75,CA,1559790452,81,48.95,-57.95,48.2,2.24
297,Lukow,13,PL,1559790510,82,51.93,22.38,66.0,10.49
298,Adamovka,2,RU,1559790512,62,51.52,59.94,58.1,14.14
299,Mbigou,100,GA,1559790513,97,-1.9,11.91,67.46,2.53
300,Takoradi,79,GH,1559790514,93,4.89,-1.75,75.74,4.76
301,Puma,0,TZ,1559790515,72,-5.0,34.76,61.16,9.06
302,Iquique,90,CL,1559790275,72,-20.22,-70.14,62.6,9.17
303,Namibe,0,AO,1559790517,69,-15.19,12.15,70.16,9.4
304,Waddan,0,LY,1559790518,26,29.16,16.14,79.34,11.54
305,Bintulu,75,MY,1559790520,74,3.17,113.03,87.8,3.36
306,Kaspiyskiy,27,RU,1559790521,41,45.39,47.37,72.14,15.88
307,Vardo,90,US,1559790522,83,39.62,-77.74,73.4,4.7
308,Orahovac,75,XK,1559790523,82,42.4,20.65,59.0,2.24
309,San Carlos de Bariloche,90,AR,1559790524,93,-41.13,-71.31,37.4,6.93
310,Poykovskiy,0,RU,1559790525,48,61.23,73.33,66.2,8.95
311,Upata,84,VE,1559790527,93,8.02,-62.41,73.58,5.48
312,Solana Beach,90,US,1559790246,82,32.99,-117.27,64.99,4.7
313,Necochea,100,AR,1559790505,91,-38.55,-58.74,53.42,7.76
314,Moron,100,VE,1559790530,82,10.49,-68.2,77.54,2.91
315,Prainha,31,BR,1559790531,98,-1.8,-53.48,74.12,1.45
316,Isla Mujeres,40,MX,1559790276,78,21.23,-86.73,82.4,6.93
317,Manggar,37,ID,1559790533,64,-2.88,108.27,88.34,9.01
318,Alice Springs,0,AU,1559790535,32,-23.7,133.88,55.4,21.92
319,Gandu,13,CN,1559790536,34,35.89,102.33,64.4,3.96
320,Sungurlare,40,BG,1559790537,100,42.77,26.78,64.0,1.12
321,Lapusnicel,47,RO,1559790538,95,44.98,22.23,50.18,5.44
322,Qaqortoq,100,GL,1559790539,70,60.72,-46.03,42.8,4.7
323,Nyurba,0,RU,1559790540,32,63.29,118.35,72.32,6.24
324,Taltal,97,CL,1559790542,69,-25.41,-70.49,59.54,4.12
325,Lahan,1,NP,1559790543,48,26.71,86.48,90.14,7.65
326,Paamiut,100,GL,1559790544,72,61.99,-49.67,40.28,23.55
327,Blackwater,47,GB,1559790545,87,51.33,-0.78,53.01,4.7
328,Dakar,75,SN,1559790546,83,14.69,-17.45,71.6,4.7
329,Mahebourg,40,MU,1559790547,78,-20.41,57.7,73.4,14.99
330,Port-Gentil,100,GA,1559790549,84,-0.72,8.78,76.1,10.09
331,Kampene,0,CD,1559790550,78,-3.59,26.67,62.78,1.66
332,Carauari,22,BR,1559790551,96,-4.88,-66.9,72.68,1.16
333,Mayskiy,90,RU,1559790552,93,43.63,44.06,60.8,2.39
334,Vanavara,100,RU,1559790553,55,60.35,102.28,65.66,2.8
335,Ibra,0,OM,1559790554,59,22.69,58.55,82.22,4.83
336,Zaysan,91,KZ,1559790556,46,47.47,84.87,71.6,7.76
337,Santa Cruz de la Palma,90,ES,1559790557,68,28.68,-17.76,68.0,12.75
338,Lavrentiya,92,RU,1559790558,53,65.58,-170.99,56.12,7.25
339,Launceston,31,AU,1559790559,58,-41.43,147.14,61.0,4.7
340,Kourou,95,GF,1559790560,88,5.16,-52.64,78.8,3.36
341,Jackville,20,CI,1559790561,88,5.21,-4.42,78.8,5.82
342,Kahului,40,US,1559790271,58,20.89,-156.47,87.8,16.11
343,Pontes e Lacerda,0,BR,1559790564,81,-15.23,-59.33,66.92,4.36
344,Nizwa,0,OM,1559790565,51,22.93,57.53,81.86,3.06
345,Balabac,57,PH,1559790566,74,7.99,117.06,85.82,11.45
346,Kavaratti,100,IN,1559790567,76,10.57,72.64,84.02,15.41
347,Knysna,100,ZA,1559790568,87,-34.04,23.05,50.0,8.05
348,Manavalakurichi,40,IN,1559790569,78,8.13,77.3,82.4,5.82
349,Mikhaylovskaya,0,RU,1559790571,79,44.99,40.6,64.04,13.69
350,Daro,100,GN,1559790572,99,8.52,-9.57,69.62,3.31
351,Binga,0,ZW,1559790573,41,-17.62,27.34,56.3,3.65
352,Lethem,100,GY,1559790574,76,3.38,-59.8,79.34,9.06
353,Hervey Bay,100,AU,1559790575,52,-25.3,152.85,70.0,13.87
354,San Antonio,90,CL,1559790579,100,-33.58,-71.61,55.4,3.36
355,Alofi,40,NU,1559790580,83,-19.06,-169.92,80.6,8.05
356,Klaksvik,80,FO,1559790581,100,62.23,-6.59,42.8,11.41
357,Komsomolskiy,100,RU,1559790582,86,67.55,63.78,32.72,6.2
358,Sao Filipe,0,CV,1559790584,84,14.9,-24.5,73.94,11.32
359,Pangnirtung,99,CA,1559790585,48,66.15,-65.72,44.6,2.82
360,Samarai,100,PG,1559790586,94,-10.62,150.67,76.64,7.49
361,Banda Aceh,100,ID,1559790587,72,5.56,95.32,84.2,8.3
362,Madimba,75,CM,1559790588,94,4.42,9.93,73.4,1.88
363,Victoria,75,BN,1559790517,79,5.28,115.24,89.6,6.08
364,Nicoya,75,CR,1559790591,88,10.15,-85.45,77.0,3.36
365,Aswan,56,EG,1559790592,17,24.09,32.9,95.0,12.75
366,Coolum Beach,82,AU,1559790593,67,-26.53,153.09,66.99,5.99
367,Shizunai,46,JP,1559790427,88,42.33,142.37,59.18,13.69
368,Husavik,100,CA,1559790596,42,50.56,-96.99,64.0,2.64
369,Auki,24,NG,1559790597,50,12.18,6.51,84.92,12.39
370,Bethel,20,US,1559790598,45,60.79,-161.76,64.4,20.8
371,Dengzhou,45,CN,1559790599,47,32.69,112.08,82.76,4.36
372,Ostrovnoy,6,RU,1559790601,71,68.05,39.51,42.8,0.87
373,Tabas,0,IR,1559790602,24,33.6,56.92,78.8,4.7
374,Vanimo,100,PG,1559790603,73,-2.67,141.3,84.02,12.15
